param_offset,param_seed,param_n_estimators,mean_test_score,std_test_score
0.5,1269,50,0.5148388670473635,0.017323025823644256
0.5,1346,100,0.5146145119585288,0.02899181138096384
0.5,1381,300,0.5143296481933148,0.02304263295187427
0.5,1234,150,0.514316987709568,0.019041064347942362
0.5,1283,200,0.5138361481402637,0.021701903061916838
0.5,1318,100,0.5133147134501671,0.022562432116852483
0.5,1409,25,0.5129397804292142,0.02609551694418106
0.5,1430,150,0.5128650631992322,0.015019514600970025
0.5,1276,150,0.5126500360674406,0.01874989721733631
0.5,1423,50,0.5124162243457381,0.02744683795624558
0.5,1283,250,0.5122546004164754,0.02133176871430499
0.5,1297,50,0.5121706608791502,0.02587929345594528
0.5,1381,50,0.5121613040714565,0.04364980915586737
0.5,1339,150,0.5121163819245531,0.019016060264905002
0.5,1360,100,0.5121160408329148,0.024148897618894712
0.5,1402,100,0.5117492652126621,0.035839364739051506
0.5,1325,200,0.5116028611259382,0.013568707265189182
0.5,1416,150,0.5113150667233738,0.02195435267517839
0.5,1332,50,0.5106890209739536,0.026802235599042542
0.5,1241,250,0.5103866601885882,0.030830684248689167
0.5,1381,250,0.5101056007291482,0.018801657681490003
0.5,1423,100,0.5098395265947536,0.01574557773030482
0.5,1255,25,0.5097314314146274,0.03145911909433434
0.5,1318,150,0.5096579192089067,0.021318799061970494
0.5,1381,100,0.5096019387145538,0.024904664843729378
0.5,1325,150,0.5091822896728841,0.014347256385180867
0.5,1381,150,0.5084301130058737,0.02445946344738642
0.5,1241,25,0.5082237090179953,0.04975074528895278
0.5,1248,25,0.5078392023247832,0.025824198934919534
0.5,1339,50,0.5078024019210364,0.015473206700702508
0.5,1241,300,0.5076559104667854,0.03074789682797987
0.5,1430,25,0.5070052611298113,0.036973197717590035
0.5,1395,25,0.5065931816459914,0.02919675762150278
0.5,1388,100,0.5064446989382738,0.011475221720714796
0.5,1388,150,0.5063788653990297,0.016578369115717133
0.5,1241,100,0.5061218131774485,0.029155642738557943
0.5,1304,50,0.5058960501551866,0.02061536656197711
0.5,1241,200,0.5056098227405176,0.02873752329558659
0.5,1283,25,0.5050293889528102,0.02527002314196011
0.5,1304,250,0.504334084689922,0.02967963273527856
0.5,1283,50,0.5042842367533451,0.038912485029369434
0.5,1304,150,0.5042267507708391,0.025380073424610867
0.5,1290,50,0.5042006810689637,0.023133586293960916
0.5,1416,100,0.5040878812288572,0.026965399567386722
0.5,1283,100,0.5036963517406663,0.03952196560260946
0.5,1304,200,0.5031069273257491,0.029857767246259437
0.5,1276,250,0.5027601202371953,0.025214232747277018
0.5,1241,150,0.5026681609965931,0.03063249744551015
0.5,1367,50,0.502303435189979,0.0406383885579092
0.5,1276,100,0.5014469558966971,0.029036130389607753
0.5,1339,100,0.5012171718557411,0.032379288021583824
0.5,1353,50,0.5012001629372844,0.03304173678320699
0.5,1381,200,0.5006657199046829,0.017752916298890073
0.5,1269,25,0.4999628322928416,0.026616105113760297
0.5,1402,25,0.4995837901507108,0.029920028575569746
0.5,1381,25,0.4986761246270689,0.030894211238537625
0.5,1276,200,0.49688293015561297,0.015261074575403667
0.5,1304,100,0.4964021638488626,0.02237574212190054
0.5,1346,50,0.4955416818841318,0.027988608884873117
0.5,1339,25,0.4950916871986065,0.03326632587418976
0.5,1416,25,0.4943973946175565,0.019704254731753933
0.5,1262,25,0.4928331070279562,0.023493309818190877
0.5,1367,25,0.49282015745717844,0.03996002385784835
0.5,1388,25,0.4918369968323855,0.029437212929722647
0.5,1416,50,0.49164776606805927,0.01932463992909214
0.5,1318,50,0.4912803463814198,0.030324181134637213
0.5,1325,100,0.49120986614103507,0.012385078568529002
0.5,1297,25,0.4911488834518119,0.008610099329431476
0.5,1311,50,0.48749160132147357,0.011528441969367597
0.5,1360,50,0.4863258374513248,0.022409169830042285
0.5,1234,100,0.4845322226484051,0.030271201687720604
0.5,1276,50,0.4829277495297271,0.037722523117108206
0.5,1304,25,0.4813178995480002,0.031673299052804374
0.5,1290,25,0.48116753277906527,0.03025127549042141
0.5,1325,50,0.4733022135087138,0.017412395258404045
0.5,1325,25,0.47290004093713484,0.03315191470301131
0.5,1318,25,0.4708096880408993,0.026958054962820454
0.5,1346,25,0.46652584492273075,0.03842265497328296
0.5,1311,25,0.4661554358330241,0.04285976372241882
0.5,1360,25,0.4624380835150069,0.017580115953186568
0.5,1234,50,0.4601254321881707,0.0204746670623619
0.5,1276,25,0.4411664976763022,0.0493222169727667
0.5,1234,25,0.4330849208926536,0.02576050197674126
0.6,1430,25,0.22193843591124612,0.07983499351206284
0.6,1318,25,0.2169233071904158,0.06725800506799302
0.4,1332,25,0.21083681963816256,0.011109172611444569
0.4,1416,25,0.2080429864818391,0.006905537751922986
0.6,1283,25,0.2072895991756128,0.039649030189964796
0.4,1437,50,0.20566542843631724,0.008272890677454375
0.4,1374,25,0.2037198918540008,0.008008333941549688
